Round,Accuracy,Loss,Reward,SplitLayer,Epsilon
1,0.9386388888888888,0.19461001175726558,0.0,35,0.9517171302557069
2,0.9816666666666666,0.05587392910020359,0.12944534223561635,25,0.9057890438555999
3,0.988,0.037220286368062155,0.016238939187990385,43,0.8621008966608072
4,0.9910833333333332,0.028842370546792784,0.00680498220229687,49,0.820543445547202
5,0.9890277777777778,0.03346065713954654,-0.003500006748764861,46,0.7810127752406908
6,0.9905555555555555,0.029547597541298768,0.0027669509771081013,44,0.7434100384749007
7,0.9916388888888888,0.026684428249396624,0.0018889872652734549,38,0.7076412088215263
8,0.9923333333333333,0.02523968984614001,0.000889340806957117,46,0.6736168455752829
9,0.9929166666666666,0.023433781225656997,0.0010372221308118997,46,0.6412518701055556
10,0.9916388888888888,0.027389033253350892,-0.002119567080462592,46,0.6104653531155071
