Round,Accuracy,Loss,Reward,SplitLayer,Epsilon
1,0.8945,0.3245,0.0,9,0.9517
2,0.9123,0.2687,0.055800000000000016,8,0.9058
3,0.9298,0.2145,0.05345381258354007,8,0.8621
4,0.9401,0.1834,0.03024956886452207,7,0.8205
5,0.9478,0.1598,0.02263863321607625,8,0.781
6,0.9532,0.1423,0.016556008817697917,9,0.7434
7,0.9589,0.1267,0.014555314667974198,8,0.7076
8,0.9634,0.1142,0.011502345632810948,7,0.6736
9,0.9672,0.1045,0.008802935806576461,8,0.6413
10,0.9701,0.0967,0.006981195553238186,8,0.6105
11,0.9726,0.0902,0.0057375694758892495,9,0.5812
12,0.9748,0.0847,0.004788028098128687,7,0.5533
13,0.9767,0.0799,0.004121114094901217,8,0.5268
14,0.9783,0.0758,0.003471655780686355,8,0.5016
15,0.9797,0.0721,0.003089825301884974,7,0.4776
16,0.9809,0.0689,0.0026354912552562296,8,0.4548
17,0.982,0.0661,0.0022743067097974567,8,0.4331
18,0.9829,0.0636,0.002002674693974057,7,0.4125
19,0.9838,0.0614,0.00173809088609943,8,0.3929
20,0.9845,0.0594,0.001558329159321001,7,0.3742
21,0.9852,0.0576,0.0013831876631592134,8,0.3564
22,0.9858,0.056,0.0012125732532083163,6,0.3395
23,0.9863,0.0545,0.0011211369364762047,8,0.3235
24,0.9868,0.0532,0.0009582749912392176,7,0.3082
25,0.9872,0.052,0.000872383510392186,8,0.2936
26,0.9876,0.0509,0.0007886753864087027,6,0.2798
27,0.988,0.0499,0.0007071067811865482,8,0.2666
28,0.9883,0.049,0.0006276346498576811,7,0.2541
29,0.9886,0.0481,0.000618993818162888,8,0.2422
30,0.9889,0.0473,0.0005426417309790655,6,0.2309
31,0.9892,0.0466,0.0004682746441751387,6,0.2201
32,0.9894,0.0459,0.00046182776877051247,7,0.2099
33,0.9896,0.0453,0.00039040255663258224,8,0.2001
34,0.9898,0.0447,0.0003850277692688734,7,0.1909
35,0.99,0.0441,0.00037972697819108167,8,0.182
36,0.9902,0.0436,0.00031208263722540323,7,0.1736
37,0.9904,0.0431,0.00030778610333622933,8,0.1657
38,0.9905,0.0427,0.00024283897687900788,7,0.1581
39,0.9907,0.0422,0.0002993696761547324,8,0.1509
40,0.9908,0.0418,0.00023619853228590873,7,0.144
41,0.991,0.0414,0.00023294671729368977,8,0.1374
42,0.9911,0.041,0.00022973967099940558,7,0.1312
43,0.9912,0.0407,0.0001699325827943707,8,0.1253
44,0.9913,0.0404,0.00016759307071083392,7,0.1197
45,0.9914,0.0401,0.0001652857673814925,8,0.1143
46,0.9915,0.0398,0.00016301022937890587,7,0.1093
47,0.9916,0.0395,0.00016076601938044485,8,0.1044
48,0.9917,0.0393,0.00010570180405613738,7,0.0998
49,0.9918,0.039,0.00015636986412616906,8,0.0954
50,0.9919,0.0388,0.00010281138266560603,7,0.0913
51,0.992,0.0385,0.0001520939219685052,8,0.0873
52,0.9921,0.0383,9.99999999999994e-05,7,0.0835
53,0.9921,0.0381,9.862327044933531e-05,8,0.0799
54,0.9922,0.0379,9.726549474122795e-05,7,0.0765
55,0.9923,0.0377,9.592641193252919e-05,8,0.0733
56,0.9923,0.0375,9.460576467255902e-05,7,0.0702
57,0.9924,0.0373,9.330329915368018e-05,8,0.0673
58,0.9925,0.0371,9.201876506248695e-05,7,0.0645
59,0.9925,0.037,4.537595776585934e-05,8,0.0618
60,0.9926,0.0368,8.950250709279669e-05,7,0.0593
61,0.9926,0.0366,8.827029962906495e-05,8,0.0569
62,0.9927,0.0365,4.3527528164807454e-05,7,0.0546
63,0.9927,0.0363,8.585654364377485e-05,8,0.0524
64,0.9928,0.0362,4.2337265618124634e-05,7,0.0504
65,0.9928,0.0361,4.175439597141966e-05,8,0.0484
66,0.9929,0.0359,8.235910172675681e-05,7,0.0465
