Dataset,Model,Clients,Rounds,Final Accuracy,Avg Split Layer
MNIST,CNN,5,10,0.7349128353975479,8
MNIST,CNN,5,20,0.8237689000298337,8
MNIST,CNN,5,50,0.9419795105746414,8
MNIST,CNN,5,100,0.9779502990672728,9
MNIST,CNN,10,10,0.6877538589293156,7
MNIST,CNN,10,20,0.7906731806145483,8
MNIST,CNN,10,50,0.9013924075038312,8
MNIST,CNN,10,100,0.9399338198763532,8
MNIST,CNN,100,10,0.5780579480371388,8
MNIST,CNN,100,20,0.6521220581824169,8
MNIST,CNN,100,50,0.734347596158582,8
MNIST,CNN,100,100,0.7730319483691064,7
MNIST,CNN,200,10,0.4989641210115733,8
MNIST,CNN,200,20,0.5831677090431274,8
MNIST,CNN,200,50,0.6471924809696951,9
MNIST,CNN,200,100,0.691864219268495,8
MNIST,ResNet50,5,10,0.7252210366288798,35
MNIST,ResNet50,5,20,0.8449737385040463,33
MNIST,ResNet50,5,50,0.9252973995718108,37
MNIST,ResNet50,5,100,0.9946867904191428,40
MNIST,ResNet50,10,10,0.7136430870162617,33
MNIST,ResNet50,10,20,0.770762995629918,34
MNIST,ResNet50,10,50,0.9023998060841756,42
MNIST,ResNet50,10,100,0.9455120144703264,40
MNIST,ResNet50,100,10,0.5883910060487896,31
MNIST,ResNet50,100,20,0.6629031799920105,35
MNIST,ResNet50,100,50,0.7460716004983324,40
MNIST,ResNet50,100,100,0.7889960726226313,40
MNIST,ResNet50,200,10,0.5250247585800791,34
MNIST,ResNet50,200,20,0.5874448277861886,33
MNIST,ResNet50,200,50,0.6653544015559862,40
MNIST,ResNet50,200,100,0.7029416195137913,44
MNIST,MobileNetV4,5,10,0.725059387796563,34
MNIST,MobileNetV4,5,20,0.8216707635893968,36
MNIST,MobileNetV4,5,50,0.9207796884086938,42
MNIST,MobileNetV4,5,100,0.9726436058655188,41
MNIST,MobileNetV4,10,10,0.6887713045681751,35
MNIST,MobileNetV4,10,20,0.7777947644360694,39
MNIST,MobileNetV4,10,50,0.8942321257888138,43
MNIST,MobileNetV4,10,100,0.9501784750105632,45
MNIST,MobileNetV4,100,10,0.6042773178179404,38
MNIST,MobileNetV4,100,20,0.6647769034731336,35
MNIST,MobileNetV4,100,50,0.7527201900078239,44
MNIST,MobileNetV4,100,100,0.7885456722598218,41
MNIST,MobileNetV4,200,10,0.5060455591876852,36
MNIST,MobileNetV4,200,20,0.5939042535678682,36
MNIST,MobileNetV4,200,50,0.6337205536683788,40
MNIST,MobileNetV4,200,100,0.6913802169335431,48
MNIST,ConvNeXt,5,10,0.7367599543532818,37
MNIST,ConvNeXt,5,20,0.8414714691574212,39
MNIST,ConvNeXt,5,50,0.9485753246329036,47
MNIST,ConvNeXt,5,100,0.976362221587624,52
MNIST,ConvNeXt,10,10,0.6977748632979041,41
MNIST,ConvNeXt,10,20,0.7808710559844984,38
MNIST,ConvNeXt,10,50,0.8892841619302312,45
MNIST,ConvNeXt,10,100,0.9351253120985388,48
MNIST,ConvNeXt,100,10,0.580997383955665,45
MNIST,ConvNeXt,100,20,0.6885259123514805,42
MNIST,ConvNeXt,100,50,0.7509032359976967,47
MNIST,ConvNeXt,100,100,0.7861592276522426,46
MNIST,ConvNeXt,200,10,0.533914611395562,40
MNIST,ConvNeXt,200,20,0.5806535838188072,42
MNIST,ConvNeXt,200,50,0.6710785754264255,46
MNIST,ConvNeXt,200,100,0.7030646148157658,49
FMNIST,CNN,5,10,0.6695010329559871,7
FMNIST,CNN,5,20,0.7744772685837019,7
FMNIST,CNN,5,50,0.8497783749642374,9
FMNIST,CNN,5,100,0.9013343057105996,7
FMNIST,CNN,10,10,0.6309840632094842,7
FMNIST,CNN,10,20,0.7340554698892485,8
FMNIST,CNN,10,50,0.8129067089582142,9
FMNIST,CNN,10,100,0.8608605480918935,9
FMNIST,CNN,100,10,0.5286173381183334,8
FMNIST,CNN,100,20,0.6145886649301827,8
FMNIST,CNN,100,50,0.6755795343438897,7
FMNIST,CNN,100,100,0.7143175367739778,8
FMNIST,CNN,200,10,0.4634188662636276,9
FMNIST,CNN,200,20,0.5278824016389023,8
FMNIST,CNN,200,50,0.5922646835766661,9
FMNIST,CNN,200,100,0.6364711038244638,8
FMNIST,ResNet50,5,10,0.6955530821924083,38
FMNIST,ResNet50,5,20,0.7700216534131143,33
FMNIST,ResNet50,5,50,0.8702839297382282,38
FMNIST,ResNet50,5,100,0.926206802087521,40
FMNIST,ResNet50,10,10,0.6654913068346342,38
FMNIST,ResNet50,10,20,0.750376774229675,34
FMNIST,ResNet50,10,50,0.8354483264054089,37
FMNIST,ResNet50,10,100,0.8869533282479101,41
FMNIST,ResNet50,100,10,0.5490721497735372,32
FMNIST,ResNet50,100,20,0.6185053878655882,33
FMNIST,ResNet50,100,50,0.7139930559715306,38
FMNIST,ResNet50,100,100,0.7245626309838783,38
FMNIST,ResNet50,200,10,0.4903109119655626,35
FMNIST,ResNet50,200,20,0.5524201035115909,34
FMNIST,ResNet50,200,50,0.6091130752236754,37
FMNIST,ResNet50,200,100,0.6505229726734784,43
FMNIST,MobileNetV4,5,10,0.6934973994344434,35
FMNIST,MobileNetV4,5,20,0.7829795858033634,36
FMNIST,MobileNetV4,5,50,0.8567970601221567,41
FMNIST,MobileNetV4,5,100,0.915987056232731,48
FMNIST,MobileNetV4,10,10,0.6666945451575748,32
FMNIST,MobileNetV4,10,20,0.7237838928595494,38
FMNIST,MobileNetV4,10,50,0.8277974381546399,39
FMNIST,MobileNetV4,10,100,0.8587865078022574,43
FMNIST,MobileNetV4,100,10,0.5361295975801612,40
FMNIST,MobileNetV4,100,20,0.607655885140767,37
FMNIST,MobileNetV4,100,50,0.6782318434963234,40
FMNIST,MobileNetV4,100,100,0.718523441310264,43
FMNIST,MobileNetV4,200,10,0.4809875979549466,33
FMNIST,MobileNetV4,200,20,0.538462176279027,36
FMNIST,MobileNetV4,200,50,0.6126981361391737,43
FMNIST,MobileNetV4,200,100,0.644575130167402,48
FMNIST,ConvNeXt,5,10,0.6900461593690811,38
FMNIST,ConvNeXt,5,20,0.776941924227342,40
FMNIST,ConvNeXt,5,50,0.9034136306622116,49
FMNIST,ConvNeXt,5,100,0.9399001524512288,52
FMNIST,ConvNeXt,10,10,0.6871860469272604,39
FMNIST,ConvNeXt,10,20,0.7421576589387859,41
FMNIST,ConvNeXt,10,50,0.8551986749519489,44
FMNIST,ConvNeXt,10,100,0.8986490406108331,51
FMNIST,ConvNeXt,100,10,0.5485471633530701,37
FMNIST,ConvNeXt,100,20,0.6279863354490803,40
FMNIST,ConvNeXt,100,50,0.714366717900113,45
FMNIST,ConvNeXt,100,100,0.7294125949328111,50
FMNIST,ConvNeXt,200,10,0.4629433565573107,42
FMNIST,ConvNeXt,200,20,0.5607121640538453,40
FMNIST,ConvNeXt,200,50,0.59942137374209,46
FMNIST,ConvNeXt,200,100,0.6486641892756974,52
CIFAR10,CNN,5,10,0.6066572980916018,7
CIFAR10,CNN,5,20,0.6863272207701641,8
CIFAR10,CNN,5,50,0.7687992174618408,7
CIFAR10,CNN,5,100,0.8078527775799313,9
CIFAR10,CNN,10,10,0.5630655664631201,8
CIFAR10,CNN,10,20,0.6374996249138453,8
CIFAR10,CNN,10,50,0.71204464928159,8
CIFAR10,CNN,10,100,0.7704579005494505,7
CIFAR10,CNN,100,10,0.4889698561617278,8
CIFAR10,CNN,100,20,0.5551410316984976,8
CIFAR10,CNN,100,50,0.617626420512908,8
CIFAR10,CNN,100,100,0.6380584718452792,8
CIFAR10,CNN,200,10,0.4347264883683841,8
CIFAR10,CNN,200,20,0.4771982111560673,8
CIFAR10,CNN,200,50,0.5336006394340171,9
CIFAR10,CNN,200,100,0.5672979267555246,8
CIFAR10,ResNet50,5,10,0.6200309577977423,34
CIFAR10,ResNet50,5,20,0.7319951712382257,33
CIFAR10,ResNet50,5,50,0.8023478672995914,41
CIFAR10,ResNet50,5,100,0.8372536163064725,39
CIFAR10,ResNet50,10,10,0.6102896871012056,32
CIFAR10,ResNet50,10,20,0.6639393226198095,34
CIFAR10,ResNet50,10,50,0.7636752048563017,38
CIFAR10,ResNet50,10,100,0.7816971467532696,45
CIFAR10,ResNet50,100,10,0.5147810272629154,32
CIFAR10,ResNet50,100,20,0.5700568682928254,33
CIFAR10,ResNet50,100,50,0.6309584509997657,42
CIFAR10,ResNet50,100,100,0.660572799781164,46
CIFAR10,ResNet50,200,10,0.4327728741638404,34
CIFAR10,ResNet50,200,20,0.4953884689469796,34
CIFAR10,ResNet50,200,50,0.5534091536112684,40
CIFAR10,ResNet50,200,100,0.5785063537951185,44
CIFAR10,MobileNetV4,5,10,0.6196385941973707,36
CIFAR10,MobileNetV4,5,20,0.7022347142228903,36
CIFAR10,MobileNetV4,5,50,0.7853860482100702,41
CIFAR10,MobileNetV4,5,100,0.826933060128647,48
CIFAR10,MobileNetV4,10,10,0.5869582755260352,36
CIFAR10,MobileNetV4,10,20,0.6713201247905127,37
CIFAR10,MobileNetV4,10,50,0.7399124066521071,43
CIFAR10,MobileNetV4,10,100,0.7774374321133306,48
CIFAR10,MobileNetV4,100,10,0.4880652305692942,43
CIFAR10,MobileNetV4,100,20,0.5555684749807862,38
CIFAR10,MobileNetV4,100,50,0.6307519749890775,40
CIFAR10,MobileNetV4,100,100,0.6547892426336227,46
CIFAR10,MobileNetV4,200,10,0.4373122125547695,35
CIFAR10,MobileNetV4,200,20,0.4860433576101626,37
CIFAR10,MobileNetV4,200,50,0.5492444524758657,43
CIFAR10,MobileNetV4,200,100,0.5747990414290911,47
CIFAR10,ConvNeXt,5,10,0.6516793520281807,44
CIFAR10,ConvNeXt,5,20,0.7313024686587548,37
CIFAR10,ConvNeXt,5,50,0.8117509643852585,47
CIFAR10,ConvNeXt,5,100,0.8615946533099846,48
CIFAR10,ConvNeXt,10,10,0.6039194221999261,44
CIFAR10,ConvNeXt,10,20,0.6943714328932669,39
CIFAR10,ConvNeXt,10,50,0.7595667993848477,47
CIFAR10,ConvNeXt,10,100,0.8118463766966643,46
CIFAR10,ConvNeXt,100,10,0.5181571806248514,42
CIFAR10,ConvNeXt,100,20,0.5830281408666599,39
CIFAR10,ConvNeXt,100,50,0.6585687767791444,48
CIFAR10,ConvNeXt,100,100,0.6758855404455093,47
CIFAR10,ConvNeXt,200,10,0.4565647580991456,46
CIFAR10,ConvNeXt,200,20,0.5065401744089635,39
CIFAR10,ConvNeXt,200,50,0.5564900114667313,45
CIFAR10,ConvNeXt,200,100,0.6095764727463283,52
CIFAR-100,CNN,5,10,0.4542989442218968,7
CIFAR-100,CNN,5,20,0.5231710741205173,7
CIFAR-100,CNN,5,50,0.5798814414144605,8
CIFAR-100,CNN,5,100,0.6190657641604761,9
CIFAR-100,CNN,10,10,0.4517888704362782,7
CIFAR-100,CNN,10,20,0.5093459373056302,8
CIFAR-100,CNN,10,50,0.5613374960429357,9
CIFAR-100,CNN,10,100,0.5868838423207661,8
CIFAR-100,CNN,100,10,0.3676645921898947,7
CIFAR-100,CNN,100,20,0.4253850579929381,7
CIFAR-100,CNN,100,50,0.4842826604101021,8
CIFAR-100,CNN,100,100,0.5019377371090832,7
CIFAR-100,CNN,200,10,0.325336928331869,9
CIFAR-100,CNN,200,20,0.3759867220465058,8
CIFAR-100,CNN,200,50,0.4010615588990379,9
CIFAR-100,CNN,200,100,0.4089932575462955,7
CIFAR-100,ResNet50,5,10,0.4986965152501059,33
CIFAR-100,ResNet50,5,20,0.5588889481864657,36
